NOMBRE_PROYECTO,ETAPA,FEC_OPCION,FECHA_DESISTIMIENTO,Entidad Financiera compra,MEDIO,VLR_VIVIENDA,PERIODO,PERIODO_AFILIADO,SEGMENTO_POBLACIONAL,CATEGORIA,RANGO_EDAD,NO_GRUPO_FAMILAR,NO_BENEFICIARIOS_CUOTA_MONETARIA,PIRAMIDE_NUEVA,EMPRESA_FOCO
Agrupación De Vivienda Monguí,ETAPA 1,3/12/2024,No,Banco,Referido,"1,950,000,000,000",2024-3,2024-3,KAPPA,OMEGA,20 a 35 años,2,1,TAU,X
Agrupación De Vivienda La Macarena,ETAPA 2,5/20/2024,No,Colsubsidio,Valla,"1,680,000,000,000",2024-5,2024-5,SIGMA,OMEGA,36 a 45 años,3,2,GAMMA,
INARI,ETAPA 1,1/18/2025,No,Banco,Redes Sociales,"3,200,000,000,000",2025-1,2025-1,NU,ETA,20 a 35 años,1,0,RHO,X
Versalles,ETAPA 3,8/4/2024,Si,Banco,Sin Informacion,"2,100,000,000,000",2024-8,,PI,CHI,,,,XI,
Los Nogales,ETAPA 1,11/2/2024,No,Colsubsidio,Ferias empresariales,"4,100,000,000,000",2024-11,2024-11,SIGMA,TAU,46 a 55 años,2,1,ALPHA,X
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,2/14/2024,No,Banco,Banderas y/o señalización,"1,770,000,000,000",2024-2,2024-2,KAPPA,OMEGA,20 - 35 años,1,1,NU,
ARAUCARIA,ETAPA 2,6/30/2024,No,Contado,Página web,"3,550,000,000,000",2024-6,2024-6,NU,OMEGA,36 - 45 años,4,2,GAMMA,
La Arboleda,ETAPA 1,9/9/2024,No,Banco,Whatsapp,"2,800,000,000,000",2024-9,,PI,CHI,,2,,XI,
Agrupación De Vivienda Pamplona I,ETAPA 2,4/22/2024,Si,Colsubsidio,Sin Informacion,"1,900,000,000,000",2024-4,2024-4,KAPPA,ETA,20 a 35 años,,0,ZETA,
Zarzal,ETAPA 1,12/1/2024,No,Banco,Referido Alcaldía,"1,650,000,000,000",2024-12,2024-12,SIGMA,OMEGA,Mayor de 55 años,1,1,RHO,X
AGRUPACIÓN DE VIVIENDA SAMÁN,ETAPA 1,7/15/2024,No,Banco,Activación,"1,720,000,000,000",2024-7,2024-7,KAPPA,OMEGA,36 a 45 años,2,1,TAU,
Agrupacion De Vivienda Payande,ETAPA 2,10/8/2024,No,Colsubsidio,Contact Center,"1,580,000,000,000",2024-10,2024-10,NU,ETA,20 a 35 años,0,0,IOTA,
CONJUNTO RESIDENCIAL VIBO ONCE,ETAPA 1,2/28/2025,No,Banco,Redes Sociales,"3,900,000,000,000",2025-2,2025-2,SIGMA,TAU,36 a 45 años,3,2,ALPHA,X
Proyecto Karakalí,ETAPA 1,3/5/2025,No,Banco,Valla,"2,450,000,000,000",2025-3,,PI,CHI,,1,,XI,
ABETO,ETAPA 3,1/9/2024,No,Colsubsidio,Referido,"3,650,000,000,000",2024-1,2024-1,NU,OMEGA,46 a 55 años,2,1,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 2,5/11/2024,No,Banco,Ferias empresariales,"1,880,000,000,000",2024-5,2024-5,KAPPA,OMEGA,20 a 35 años,2,1,TAU,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,8/19/2024,No,Banco,Banderas y/o señalización,"2,360,000,000,000",2024-8,2024-8,SIGMA,ETA,36 a 45 años,1,1,RHO,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 2,9/27/2024,Si,Colsubsidio,Sin Informacion,"1,750,000,000,000",2024-9,2024-9,KAPPA,OMEGA,20 a 35 años,,0,NU,
VILLA MERCEDES EL DORADO,ETAPA 1,11/30/2024,No,Banco,Whatsapp,"2,050,000,000,000",2024-11,,PI,CHI,,3,,XI,
Agrupación De Vivienda Monguí,ETAPA 2,6/6/2025,No,Colsubsidio,Referido,"2,020,000,000,000",2025-6,2025-6,KAPPA,OMEGA,Menor de 19 años,,0,IOTA,
