NOMBRE_PROYECTO,ETAPA,FEC_OPCION,FECHA_DESISTIMIENTO,Entidad Financiera compra,MEDIO,VLR_VIVIENDA,PERIODO,PERIODO_AFILIADO,SEGMENTO_POBLACIONAL,CATEGORIA,RANGO_EDAD,NO_GRUPO_FAMILAR,NO_BENEFICIARIOS_CUOTA_MONETARIA,PIRAMIDE_NUEVA,EMPRESA_FOCO
Los Nogales,ETAPA 1,2/10/2024,No,Banco,Ferias empresariales,"5,523,620,000,000",2024-2,2024-2,NU,TAU,20 - 35 años,,,RHO,X
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,2/13/2024,No,Colsubsidio,Banderas y/o señalización,"1,770,600,000,000",2024-2,2024-2,KAPPA,OMEGA,20 - 35 años,,,NU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,12/21/2024,No,Banco,Referido,"2,360,000,000,000",2024-12,2024-12,SIGMA,OMEGA,36 - 45 años,1,1,ALPHA,
Agrupación De Vivienda La Macarena,ETAPA 3,2/18/2024,No,Banco,Banderas y/o señalización,"1,495,000,000,000",2024-2,2024-2,KAPPA,OMEGA,36 - 45 años,1,,RHO,
Los Nogales,ETAPA 2,1/7/2025,No,Banco,Referido,"5,634,980,000,000",2025-1,2025-1,SIGMA,TAU,46 - 55 años,1,,RHO,X
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,1/8/2025,No,Banco,Referido,"2,360,000,000,000",2025-1,2025-1,SIGMA,TAU,Mayor de 55 años,,,GAMMA,
Agrupación De Vivienda Pamplona I,ETAPA 5,2/3/2024,No,Banco,Banderas y/o señalización,"2,293,000,000,000",2024-2,2024-2,KAPPA,OMEGA,20 - 35 años,2,1,TAU,
Los Nogales,2,2/29/2024,Si,Banco,Sin Informacion,"5,537,395,700,000",2024-2,2024-2,KAPPA,OMEGA,36 - 45 años,3,2,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 2,3/15/2026,No,Banco,Banderas y/o señalización,"1,786,000,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,2,2,NU,
VERDE ESPERANZA EL DORADO,ETAPA 1,3/28/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,SIGMA,ETA,36 a 45 años,1,1,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,3/15/2026,No,Banco,Banderas y/o señalización,"1,753,000,000,000",2026-3,2026-3,KAPPA,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,3/2/2026,No,Banco,Banderas y/o señalización,"1,479,515,000,000",2026-3,2026-3,SIGMA,ETA,46 a 55 años,6,,GAMMA,
Agrupación De Vivienda Monguí,ETAPA 2,3/1/2026,No,Colsubsidio,Banderas y/o señalización,"1,952,259,000,000",2026-3,2026-3,SIGMA,OMEGA,36 a 45 años,2,2,GAMMA,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 3,3/19/2026,No,Colsubsidio,Banderas y/o señalización,"2,034,180,000,000",2026-3,2026-3,NU,ETA,20 a 35 años,,,GAMMA,
Proyecto Karakalí,ETAPA 1,3/31/2026,No,Banco,Banderas y/o señalización,"2,363,721,750,000",2026-3,2026-3,SIGMA,ETA,Mayor de 55 años,1,,TAU,
Agrupacion De Vivienda Payande,,12/19/2025,Si,Banco,Sin Informacion,"2,020,544,370,000",2025-12,2025-12,KAPPA,OMEGA,36 a 45 años,2,,TAU,
ARAUCARIA,ETAPA 1,12/21/2025,No,Banco,Banderas y/o señalización,"6,082,000,000,000",2025-12,2025-12,SIGMA,TAU,20 a 35 años,1,,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 1,3/25/2024,No,Banco,Referido,"2,078,310,000,000",2024-3,2024-3,SIGMA,OMEGA,36 - 45 años,2,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,4/26/2026,No,Colsubsidio,Activación,"1,567,060,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,3,2,GAMMA,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,4/26/2026,No,Banco,Ferias empresariales,"2,532,490,950,000",2026-4,2026-4,NU,OMEGA,20 a 35 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 4,4/25/2026,No,Colsubsidio,Banderas y/o señalización,"1,497,024,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,NU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"2,155,000,000,000",2026-4,2026-4,SIGMA,OMEGA,36 a 45 años,1,1,ZETA,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,4/13/2026,No,Banco,Referido,"2,550,000,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,TAU,
La Arboleda,ETAPA 1,8/29/2025,No,Banco,Banderas y/o señalización,"1,642,719,000,000",2025-8,2025-8,SIGMA,OMEGA,20 a 35 años,1,1,GAMMA,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,,7/31/2024,Si,Banco,Sin Informacion,"2,263,000,000,000",2024-7,2024-7,NU,ETA,20 - 35 años,,,GAMMA,
VILLA FIORITA,ETAPA 2,11/19/2024,No,Banco,Banderas y/o señalización,"1,987,206,000,000",2024-11,2024-11,SIGMA,OMEGA,Mayor de 55 años,,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,3/16/2025,No,Colsubsidio,Referido,"1,477,593,000,000",2025-3,2025-3,SIGMA,ETA,20 a 35 años,1,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,7/31/2024,No,Banco,Redes Sociales,"1,362,400,000,000",2024-7,2024-7,NU,OMEGA,20 - 35 años,,,RHO,X
INARI,ETAPA 1,11/23/2024,No,Banco,Banderas y/o señalización,"2,808,000,000,000",2024-11,2024-11,KAPPA,OMEGA,36 - 45 años,5,4,NU,
Agrupacion De Vivienda Fuentevida,ETAPA 2,3/21/2025,No,Colsubsidio,Referido Alcaldía,"1,281,150,000,000",2025-3,2025-3,SIGMA,OMEGA,20 a 35 años,1,1,NU,
